clip_sim,gate,is_fake
0.28657687,0.4826257,0
0.17759769,0.49827453,1
0.26875478,0.48014832,0
0.3161298,0.4852291,0
0.2956845,0.5064339,0
0.24638683,0.50953513,1
0.2763794,0.52300024,1
0.28274554,0.509708,1
0.32133508,0.48348442,0
0.30046588,0.50258774,0
0.2986949,0.50068253,0
0.27184796,0.4759771,0
0.26720166,0.5078319,0
0.20494282,0.49650803,1
0.2529468,0.48529625,0
0.32421166,0.4776082,0
0.33008713,0.5079486,0
0.33235613,0.5000877,0
0.21693507,0.5078458,1
0.18394476,0.49661693,1
0.3227728,0.50216985,0
0.32668823,0.5108335,1
0.29402202,0.49664876,0
0.30907422,0.49897227,0
0.33607522,0.4814419,0
0.31647494,0.4999504,0
0.24235572,0.5032065,1
0.25363576,0.5057866,1
0.2875995,0.5277636,1
0.30589658,0.49722967,0
0.28184843,0.5106223,0
0.3317889,0.5006199,0
0.27452543,0.48947486,1
0.2651395,0.5090626,0
0.2789466,0.492658,0
0.32155585,0.507667,0
0.15812661,0.4882474,1
0.2529475,0.5081442,1
0.2812339,0.48976347,1
0.27435666,0.51437503,1
0.2857694,0.5190024,0
0.21414714,0.50962776,1
0.20691544,0.5009826,1
0.3123387,0.5128711,1
0.18213628,0.49769938,1
0.32006496,0.51677495,0
0.32367116,0.51154774,0
0.2618797,0.5086519,1
0.2572022,0.49208274,0
0.23286887,0.48541155,1
0.19675936,0.4967246,1
0.31157297,0.5011938,0
0.32002175,0.4879466,0
0.29052365,0.49848747,0
0.34087762,0.5280549,1
0.30801228,0.48184836,0
0.28101528,0.49438056,0
0.24308006,0.4916791,0
0.15500188,0.48412874,1
0.20098571,0.48584995,1
0.29983872,0.5109012,1
0.2001335,0.48623228,1
0.21050534,0.50286996,1
0.22133279,0.49100605,1
0.28050312,0.50758547,0
0.32759535,0.48362455,1
0.27692434,0.49940506,0
0.22926119,0.4970212,1
0.2821499,0.48511767,1
0.2359213,0.49038902,1
0.2585876,0.5018388,0
0.31999898,0.4822063,0
0.28595603,0.51146096,0
0.21934605,0.49781957,1
0.3023123,0.5078769,0
0.19234684,0.5013755,1
0.25720227,0.4901825,0
0.30475014,0.52897215,1
0.2729844,0.50097585,1
0.321094,0.52589494,1
0.3197542,0.51862293,1
0.24992976,0.49538246,1
0.2134055,0.5033502,1
0.36605203,0.49856842,1
0.28757071,0.51757896,1
0.26957476,0.49039105,0
0.24329083,0.50114435,0
0.36327386,0.49167272,0
0.29719076,0.505829,1
0.19091603,0.49180755,1
0.3675913,0.49783912,0
0.26595876,0.49810156,1
0.3004401,0.5092664,0
0.28553796,0.50454956,1
0.29306316,0.48538682,0
0.23388906,0.5110736,1
0.30238968,0.52690625,1
0.21863148,0.4971788,0
0.2710102,0.486769,0
0.19052064,0.49047628,1
0.30604994,0.48277357,0
0.1732763,0.4983898,1
0.25305885,0.5018868,1
0.26401794,0.49634993,0
0.24769893,0.51036525,1
0.22359973,0.52313447,1
0.2520802,0.48733234,0
0.2652686,0.47962597,0
0.3053873,0.50115937,0
0.25496197,0.5099916,1
0.24161358,0.49219105,1
0.28930882,0.50521475,0
0.2920856,0.49741077,0
0.3444161,0.4922216,0
0.13770866,0.48397443,1
0.27234557,0.48580316,0
0.3397658,0.50263876,0
0.31523132,0.49150196,0
0.28626564,0.48343086,1
0.29564646,0.49224386,0
0.2977112,0.5039415,1
0.24910726,0.49696016,1
0.26184237,0.5018883,0
0.29557705,0.47628066,0
