clip_sim,is_fake
0.27439094,0
0.3122998,0
0.36943996,0
0.28060412,1
0.18094496,1
0.29415146,1
0.27959365,0
0.30019116,0
0.28995022,0
0.35715818,0
0.22439805,1
0.22466207,1
0.2598471,0
0.18570538,1
0.29397786,0
0.30479258,1
0.30587322,1
0.2913145,0
0.28860968,1
0.21202087,1
0.17450956,0
0.116470836,1
0.20214462,0
0.2342163,0
0.2824431,0
0.23483063,0
0.28000665,1
0.21881866,1
0.19184382,1
0.28128216,1
0.31255725,0
0.31126297,1
0.21951377,1
0.23983857,0
0.28785238,1
0.33711445,0
0.1989752,1
0.32157287,0
0.2985477,1
0.19850262,1
0.27431735,1
0.37206006,1
0.26035523,1
0.30774653,0
0.26189494,0
0.31398937,0
0.25244683,1
0.28068072,0
0.31912363,0
0.22953975,0
0.19444086,1
0.30970877,0
0.32127357,0
0.31702894,1
0.24795306,0
0.20243403,0
0.36245078,1
0.19686761,1
0.29410142,1
0.30706546,1
0.29941785,0
0.22352402,1
0.28334564,0
0.24306808,0
0.3025148,0
0.20190766,1
0.23164442,1
0.32217157,0
0.37453085,1
0.2122695,1
0.29922608,0
0.3128487,0
0.31837204,0
0.21968025,1
0.24541827,0
0.28589803,1
0.24349369,0
0.29428363,0
0.32408166,0
0.26973262,1
0.2076906,1
0.16732553,1
0.31659633,1
0.28418663,0
0.21043923,1
0.3250602,0
0.2649628,0
0.33592296,0
0.27924895,1
0.24696544,1
0.29504654,1
0.18645874,1
0.32144493,1
0.2882886,0
0.23988402,0
0.18966258,1
0.2355546,1
0.2872725,0
0.23751977,1
0.31495517,1
0.27098987,1
0.29842678,0
0.3010714,0
0.22497126,0
0.24642764,1
0.29011965,0
0.16075696,1
0.2957038,0
0.3057578,0
0.32946193,0
0.31490326,0
0.22580452,1
0.25768977,1
0.27563947,0
0.37695646,0
0.344392,0
0.26284558,0
0.29870445,1
0.28381073,1
0.23382121,0
0.31762338,0
0.25661486,0
0.3240066,0
0.25485593,0
0.19836177,1
0.25680065,1
0.31802505,0
0.28956512,0
0.28269917,0
0.24069116,1
0.2754435,1
0.31012633,1
0.2565453,0
0.14564691,1
0.32848376,0
0.30872118,1
0.20783785,1
0.32401192,0
0.320491,0
0.29674095,0
0.25487605,0
0.2861646,1
0.3165679,0
0.25266916,0
0.21281198,1
0.33025706,0
0.21506244,1
0.1778629,1
0.32921648,0
0.24464032,1
0.2034211,1
0.35396218,0
0.25631982,1
0.28807607,0
0.18675587,1
0.18930924,1
0.20224622,1
0.2766385,0
0.23489687,0
0.33734864,0
0.29667157,1
0.2531399,0
0.24643561,1
0.30510038,0
0.21209092,1
0.31754142,0
0.28531933,1
0.3447351,1
0.32593098,1
0.2718143,0
0.16368009,1
0.32984683,1
0.2735504,0
0.33231336,1
0.26981091,1
0.17001233,1
0.22739825,0
0.29739463,0
0.3159986,0
0.22684285,1
0.30079857,1
0.27148497,0
0.22202359,1
0.2589628,1
0.33081016,0
0.30319342,0
0.25905508,1
0.26115966,0
0.3133909,0
0.27266887,1
0.3272097,1
0.3094999,1
0.22467694,0
0.27132922,0
0.34315163,0
0.22883032,1
0.3255791,1
0.35914952,0
0.31276637,0
0.25466287,1
0.22894293,0
0.2191017,1
0.3106116,0
0.27577987,0
0.3029097,1
0.19874674,1
0.14424005,1
0.3091005,0
0.23916987,1
0.36034593,0
0.27417675,0
0.35497546,0
0.24674696,0
0.22658,1
0.3284081,0
0.32257748,1
