protocol,model,seed,condition,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,brier,ece,auroc,auprc,tn,fp,fn,tp
random,concat,13,clean,0.8495757853703279,0.8491226293694492,0.856648541769649,0.8256312529776084,0.8408539543910722,0.11023019254207611,0.059885729185432175,0.9289921224750618,0.9279696358386675,1972,290,366,1733
random,concat,13,zero_image,0.6993808759458839,0.6915236697285326,0.6331981068289385,0.8923296808003811,0.7407553885702985,0.21710245311260223,0.1760532140340575,0.8167542415254789,0.7992671412376886,1177,1085,226,1873
random,concat,13,zero_text,0.7521210731483605,0.7403111512700553,0.8821321321321322,0.5597903763696999,0.684931506849315,0.2362995147705078,0.23185002648130035,0.8247309674220682,0.8264909762915691,2105,157,924,1175
random,concat,13,zero_meta,0.8495757853703279,0.8491226293694492,0.856648541769649,0.8256312529776084,0.8408539543910722,0.11023019254207611,0.059885729185432175,0.9289921224750618,0.9279696358386675,1972,290,366,1733
random,concat,13,zero_cons,0.8495757853703279,0.8491226293694492,0.856648541769649,0.8256312529776084,0.8408539543910722,0.11023019254207611,0.059885729185432175,0.9289921224750618,0.9279696358386675,1972,290,366,1733
random,concat,42,clean,0.8578307727585416,0.8575799880662626,0.8556998556998557,0.8475464506908051,0.8516036381043561,0.10572337359189987,0.04489469013824576,0.9325966345811592,0.9302482398361377,1962,300,320,1779
random,concat,42,zero_image,0.7301077734464573,0.7252137184758323,0.6620956399437412,0.8970938542162935,0.7618854946388832,0.18861934542655945,0.14083490224127596,0.8394905325216968,0.8205405093021708,1301,961,216,1883
random,concat,42,zero_text,0.7743636780554919,0.7679503302276747,0.8627195836044242,0.6317293949499762,0.7293729372937293,0.21367247402668,0.2080413771959714,0.8478902841612508,0.8393587466878938,2051,211,773,1326
random,concat,42,zero_meta,0.8578307727585416,0.8575799880662626,0.8556998556998557,0.8475464506908051,0.8516036381043561,0.10572337359189987,0.04489469013824576,0.9325966345811592,0.9302482398361377,1962,300,320,1779
random,concat,42,zero_cons,0.8578307727585416,0.8575799880662626,0.8556998556998557,0.8475464506908051,0.8516036381043561,0.10572337359189987,0.04489469013824576,0.9325966345811592,0.9302482398361377,1962,300,320,1779
random,text,13,clean,0.7908736528319192,0.7905127897201873,0.7851994233541566,0.7784659361600762,0.7818181818181819,0.1483483761548996,0.052907156663831695,0.8723399505216791,0.8624512751192854,1815,447,465,1634
random,text,13,zero_image,0.7908736528319192,0.7905127897201873,0.7851994233541566,0.7784659361600762,0.7818181818181819,0.1483483761548996,0.052907156663831695,0.8723399505216791,0.8624512751192854,1815,447,465,1634
random,text,13,zero_text,0.5186883742260949,0.341537067794051,0.0,0.0,0.0,0.24965117871761322,0.0006379718232171205,0.5,0.48131162577390507,2262,0,2099,0
random,text,13,zero_meta,0.7908736528319192,0.7905127897201873,0.7851994233541566,0.7784659361600762,0.7818181818181819,0.1483483761548996,0.052907156663831695,0.8723399505216791,0.8624512751192854,1815,447,465,1634
random,text,13,zero_cons,0.7908736528319192,0.7905127897201873,0.7851994233541566,0.7784659361600762,0.7818181818181819,0.1483483761548996,0.052907156663831695,0.8723399505216791,0.8624512751192854,1815,447,465,1634
random,text,42,clean,0.7805549185966522,0.7803715784995036,0.7673220973782772,0.7808480228680323,0.7740259740259741,0.1527748703956604,0.06938046600854988,0.8684115083221389,0.8588380776474422,1765,497,460,1639
